frame,centroid_x,centroid_y
1,1121.2297,924.4319
2,1121.9644,921.6832
4,1118.0281,918.26404
5,1116.4353,919.2288
7,1114.3765,918.098
8,1112.521,916.6254
10,1109.2451,916.82556
11,1107.6995,915.84906
14,1101.0315,915.1112
15,614.1772,899.3146
16,1099.3546,915.3219
17,1097.4778,915.206
18,1095.7092,916.44745
19,1093.8065,915.62805
26,1085.3975,912.4021
27,1084.1747,911.9824
28,1083.2815,912.7914
29,1082.3887,912.4759
33,1077.2258,912.1626
34,1076.6326,912.15216
36,1074.6478,911.3071
37,1073.7788,910.2949
40,1070.5485,909.47144
41,1069.6575,909.73737
44,1065.044,908.0623
45,1062.5205,907.08594
46,1061.9048,906.8251
47,1060.123,907.0419
60,1037.1282,905.0559
65,1027.2836,906.0692
81,993.62146,905.1889
82,990.22144,906.55646
83,988.1622,906.4053
88,980.01544,901.6141
89,979.76996,901.3753
91,976.6725,900.3413
109,942.53174,897.9183
123,919.9706,895.83655
124,919.71106,893.73193
125,918.62366,895.6024
129,909.3569,892.3356
173,1020.3296,884.29193
179,1015.8534,880.5989
180,1015.8649,879.23096
270,1093.22,884.61694
302,1189.5332,915.7588
306,1181.0894,922.89746
307,1179.31,917.7179
313,1165.6279,916.38776
314,1162.8799,915.5297
316,1077.334,888.9992
317,1076.0261,887.54425
324,1146.4988,916.9122
325,1146.938,915.559
326,1146.6477,915.94885
327,1146.8706,915.95654
328,1147.1858,914.75146
329,1146.3176,914.5629
330,1108.7343,889.5619
331,1144.6616,915.0995
332,1144.4583,915.07965
333,1144.3171,915.35394
334,1144.4985,915.4935
335,1145.0149,916.3017
336,1145.7268,916.95483
337,1146.7606,919.5637
338,1148.0139,919.4282
339,1149.948,919.52985
341,1156.8094,919.3176
343,1162.2461,916.89246
344,1164.3401,915.4618
346,1169.925,914.56714
347,1172.2042,914.01965
348,1175.4679,913.01733
349,1178.1852,914.9092
350,1271.2318,916.37256
351,1183.6523,919.0523
352,1186.813,914.91693
353,1189.2253,916.97754
361,1211.863,915.33105
362,1213.5035,914.1354
363,1216.3225,915.40955
388,1182.6448,908.31525
389,1013.65,903.9102
391,1358.0896,915.21533
392,1358.9639,915.97144
393,1359.4648,916.12756
395,1305.4033,910.8089
398,1340.2997,911.09143
402,1326.721,906.2752
412,1347.9556,882.84357
415,1352.6749,879.8385
418,1286.5201,872.15454
419,1284.2065,864.26904
420,1402.4725,883.76337
421,1401.5408,880.8956
422,1402.6493,880.75104
442,1081.0905,847.6233
474,1316.4047,867.4523
476,1313.6611,868.45996
477,1312.7603,869.32654
478,1309.5322,870.2179
479,1309.1722,869.7911
480,1307.395,868.7644
481,1304.4008,870.0013
505,1227.4681,890.7865
506,1224.1667,890.7046
508,1240.7996,887.3914
510,1210.4453,890.0867
516,787.97754,884.3468
517,783.5718,882.25104
518,781.14526,881.8766
519,978.65015,889.18744
522,766.4737,883.01056
529,1147.537,894.5118
530,1144.179,894.8916
534,1130.158,895.6975
540,1111.125,896.59406
553,678.3944,888.5133
562,858.0987,892.8777
563,856.5769,893.10425
564,854.73517,893.40857
565,852.31744,893.8037
575,183.34842,880.1461
578,637.37976,891.30817
579,634.52075,889.69196
580,633.7318,885.49097
581,631.8015,885.54895
582,630.1462,883.2669
586,1000.57434,899.38904
587,998.6607,899.1524
590,607.2384,884.24524
591,605.7418,882.7046
598,595.3676,881.61
599,594.5472,882.1346
600,594.1279,880.5453
601,592.5426,877.03253
602,592.115,878.00006
606,587.8633,877.1924
607,587.1974,877.6217
690,1080.2567,876.9155
717,752.571,929.6776
719,1034.3134,747.32104
740,696.08826,940.958
741,859.1755,918.1925
742,1022.80023,902.30225
743,1022.8895,896.82605
744,689.1487,942.6511
745,686.56757,944.58636
746,684.38635,949.09534
747,683.05835,946.9512
748,680.3135,948.3347
749,679.1516,948.1011
750,676.6919,947.60596
752,633.2927,910.6915
753,631.92334,909.9065
756,664.47925,952.29285
757,662.0076,953.43176
759,657.84106,953.20166
764,648.8385,954.40027
803,571.8347,974.87897
805,569.3607,973.3588
806,565.1459,976.9045
807,564.4534,980.79767
808,562.67114,979.78876
809,561.6891,980.4018
810,560.5126,981.72876
811,558.1229,980.0768
812,556.9375,977.9262
813,555.69403,978.5343
814,553.4263,979.6754
815,550.88367,978.7401
816,548.8517,978.90674
867,182.5932,935.9492
868,182.46231,936.7208
